Banco - Código;Banco - Nome;Banco - CNPJ;Agência - Código;Agência - Rua;Agência - Número;Agência - Complemento;Agência - CEP;Cliente - Nome;Cliente - CPF;Cliente - Data de nascimento;Cliente - Rua;Cliente - Número;Cliente - Complemento;Cliente - CEP;Conta - Tipo;Conta - Número;Conta - Dígito;Conta - Saldo;Conta - Ativa;Poupança - Aniversário
123;Banco do Cotemig;25.112.577/0001-16;1847;Rua Principal;1423;;79680-000;Calebe Menezzes;812.158.245-80;27/08/1951;Rua Oito;603;Bloco 01;69000-000;P;288;1;1000;S;1
123;Banco do Cotemig;25.112.577/0001-16;1847;Rua Principal;1423;;79680-000;Enzo Freitas;917.641.239-30;01/11/1977;Rua Dois;834;;58000-000;C;1217;2;2000;S;
123;Banco do Cotemig;25.112.577/0001-16;1847;Rua Principal;1423;;79680-000;Joaquim Marques;977.042.809-45;11/02/1976;Avenida Seis;1552;Bloco 02;50000-000;P;24;3;3000;S;2
123;Banco do Cotemig;25.112.577/0001-16;1200;Rua Dez;1328;Praça principal;29099-000;Yasmin Paris;316.130.910-36;24/04/1995;Rua Doze;949;;70999-000;C;1159;4;4000;S;
123;Banco do Cotemig;25.112.577/0001-16;1200;Rua Dez;1328;Praça principal;29099-000;Rebeca Ferrari;634.419.605-05;08/07/1954;Rua Treze;1282;Bloco 03;29099-000;P;1621;5;5000;S;3
123;Banco do Cotemig;25.112.577/0001-16;1200;Rua Dez;1328;Praça principal;29099-000;Emanuela Santana;989.965.994-09;02/03/1959;Rua E;121;;49099-000;C;846;6;6000;S;
456;Banco Mobile;38.534.022/0001-04;868;Rua Um;240;;70999-000;Enzo Gabriel Oliveira;001.644.507-42;24/10/1962;Avenida Brasil;1821;Bloco 04;68914-000;P;1044;7;7000;N;4
456;Banco Mobile;38.534.022/0001-04;868;Rua Um;240;;70999-000;Leticia Campos;859.933.397-64;22/10/1973;Avenida Seis;1047;;18000-000;C;655;8;8000;S;
456;Banco Mobile;38.534.022/0001-04;868;Rua Um;240;;70999-000;Vicente Oliveira;930.897.120-32;03/12/1957;Rua Doze;1485;Bloco 05;91999-000;P;806;9;9000;S;5
456;Banco Mobile;38.534.022/0001-04;1074;Rua Oito;1410;;58000-000;Jade Pilar;890.769.190-89;07/04/1964;Rua Primeiro de Maio;1422;Bloco 06;70999-000;C;1548;0;10000;N;
456;Banco Mobile;38.534.022/0001-04;1074;Rua Oito;1410;;58000-000;Ariela Cavalcante;955.722.697-86;10/06/1963;Rua B;1200;;29099-000;P;1582;x;11000;S;6
456;Banco Mobile;38.534.022/0001-04;1074;Rua Oito;1410;;58000-000;Maria Alice;067.790.451-79;06/11/1988;Avenida Seis;1328;Bloco 07;49099-000;C;896;1;12000;S;
456;Banco Mobile;38.534.022/0001-04;1074;Rua Oito;1410;;58000-000;Pietra Monteiro;309.016.278-44;02/09/1956;Av. Quatro;240;;68914-000;P;1438;2;13000;S;7
789;Banco API;76.912.327/0001-00;1112;Rua A;1971;;82999-000;Caio Guimarães;758.231.041-11;07/09/1961;Rua Dez;868;Bloco 08;80000-000;C;800;3;14000;S;
789;Banco API;76.912.327/0001-00;1509;Rua H;1509;;68914-000;Gabriel Chaves;459.720.218-89;24/06/1997;Rua G;1381;;91999-000;P;1249;4;15000;S;8
789;Banco API;76.912.327/0001-00;1509;Rua H;1509;;68914-000;Ariela Gomes;521.839.091-70;13/05/1977;Rua Um;1294;Bloco 09;70999-000;C;948;5;16000;S;
789;Banco API;76.912.327/0001-00;1509;Rua H;1509;;68914-000;Francisco Lima;532.897.430-12;07/02/1979;Rua B;995;;64099-000;P;1192;6;17000;S;9
789;Banco API;76.912.327/0001-00;1509;Rua H;1509;;68914-000;Fernando Andrade ;079.102.861-55;17/10/1999;Rua Primeiro de Maio;1325;Bloco 10;79680-000;C;1822;7;18000;S;
789;Banco API;76.912.327/0001-00;1509;Rua H;1509;;68914-000;Caio Garcia;030.411.341-79;20/02/1964;Av. F;1074;Bloco 11;64099-000;P;1202;8;19000;S;10
123;Banco do Cotemig;25.112.577/0001-16;1847;Rua Principal;1423;;79680-000;Shalonda Marsden;477.358.391-62;24/08/2014;Rua Oito;34;;64099-000;P;48;1;1000;S;1
